,Word,Meaning,ShortDefinition,LongDefinition,Synonyms,Antonyms
0,abate,(v) become less in amount or intensity (v) make less active or intense,Something that abates becomes fewer or less intense. Your enthusiasm for skiing might abate after falling off a ski lift and getting a mouthful of snow.,"Abate comes from the Old French verb abattre, ""to beat down,"" and means to reduce or become less intense or numerous. As an intransitive verb, it is often used with something physically, emotionally, or figuratively violent, as in ""the flood of fan mail began to abate."" Using it transitively, if you take measures to abate pollution or noise, you reduce them. Pronounce abate with the stress on the second syllable (uh-BATE).",die away let up slack slack off slack slake,
0,chicanery,(n) the use of tricks to deceive someone (usually to extract money from them),Have you ever gotten the sense that politicians or corporate leaders will say anything to turn public opinion their way? This tricky kind of deceit and manipulation is called chicanery.,"Besides chicanery, another funny-sounding word for trickery is shenanigans. Whereas the former is always used in the singular and involves deceptive language, the latter is usually used in the plural and refers to the actions of a person. Your crazy neighbor is up to his old shenanigans if he has begun doing weird stuff again, but if a politician's chicanery is exposed, he will lose public trust and not be returned to office in the next election cycle.",chicane guile shenanigan trickery wile,
0,disseminate,(v) cause to become widely known,"Disseminate means to spread information, knowledge, opinions widely. Semin- derives from the Latin word for seed; the idea with disseminate is that information travels like seeds sown by a farmer.","Think about a teacher distributing a hand out at the beginning of a class. The dis-  of disseminate and distribute come from the same Latin prefix which means ""apart, in a different direction."" But unlike papers distributed in class, information, once spread around in all directions, cannot be pulled back in. Think about false rumors or political smear campaigns and you'll understand that dissemination is usually a one-way process.",broadcast circularise circularize circulate diffuse disperse distribute pass around propagate spread,
0,gainsay,(v) take exception to,"Gainsay, a verb, means ""contradict"" or ""speak out against."" When you challenge authority, you gainsay, as in teachers don't like it when unruly students gainsay them.","Gainsay comes from an Old English word that means ""contradict"" or ""say against,"" as in, no one dared gainsay the principal, who is well-known for giving detention to students who so much as frown at him. If you know someone who constantly corrects others, tells them that they're wrong, and says, ""That's not true,"" more than anyone else, you have first-hand experience with the art of the gainsay.",challenge dispute,
0,latent,(adj) potentially existing but not presently evident or realized (adj) (pathology) not presently active,"Latent is an adjective that you use to describe something that is capable of becoming active or at hand, though it is not currently so.","The adjective latent is a tricky word to define because it refers to something there but not there. That is, latent means something that is capable of becoming active or at hand but has not yet achieved that state. The word arrived in Middle English from the Latin word latÄ“re which means ""to lie hidden."" It can have somewhat negative connotations because it is often used in a medical context, as in a latent illness or infection, but it can also mean good things, such as someone discovering they have latent talents or capabilities.",possible potential inactive,
0,aberrant,(adj) markedly different from an accepted norm (n) one whose behavior departs substantially from the norm of a group,Use the adjective aberrant to describe unusual conduct. Sitting in a bathtub and singing show tunes all day long might be considered aberrant behavior.,"For conduct that departs from the norm, aberrant is at hand to describe it if you want to set a formal, or even scientific tone to the discussion. You can put the accent on either the first syllable (AB-er-ent) or the second (uh-BER-ent); both pronunciations are acceptable. The Latin root aberrare means ""to go astray,"" from the prefix ab- ""off, away"" plus errare ""to wander.""  Other descendants of errare in English, like error and errant, have that double -r- and also refer to something that's either not wanted or not expected.",deviant deviate,
0,coagulate,(v) change from a liquid to a thickened or solid state (v) cause to change from a liquid to a solid or thickened state (adj) transformed from a liquid into a soft semisolid or solid mass,"When liquid starts to thicken and become solid, it coagulates. When you get a cut, the blood flowing from the wound will coagulate: it will start to clot and form a solid scab so you will stop bleeding.","Many liquids have the potential to coagulate. If the cream you just poured into your coffee is spoiled, you'll see the cream coagulate as it curdles into little floating chunks. If someone has a heart condition that may result in a heart attack, he or she might take medication that keep the blood in the arteries from coagulating, or dangerously thickening.",clot clot coagulated curdled grumose grumous,
0,dissolution,(n) separation into component parts (n) the termination or disintegration of a relationship (between persons or nations) (n) the termination of a meeting (n) dissolute indulgence in sensual pleasure (n) the process of going into solution,The dissolution of a relationship means that it's broken up or ended. The dissolution of your band means you better get started on your solo album.,"Dissolution comes from the Latin word dissolutio, meaning ""a dissolving of something."" Dissolution looks very similar to ""dissolve,"" so to help you remember the meaning, think about what happens if you put paper in water â€” it breaks apart. A dissolution of a marriage is the same thing as divorce. Although it sounds like disillusion, if you try to use them interchangeably, your logic will fall apart.",disintegration breakup adjournment dissipation licentiousness looseness profligacy dissolving,
0,garrulous,(adj) full of trivial conversation,"A garrulous person just won’t stop talking (and talking, and talking, and talking...).","Garrulous comes from the Latin word garrire for ""chattering or prattling."" If someone is garrulous, he doesn't just like to talk; he indulges in talking for talking’s sake — whether or not there’s a real conversation going on. If you discover that you have a garrulous neighbor sitting next to you on the plane, you might just want to feign sleep, unless you really want to hear everything going through his mind for the entire trip.",chatty gabby loquacious talkative talky,
0,laud,"(v) praise, glorify, or honor",To laud someone means to praise them extravagantly — usually in a very public manner. A music critic might laud a new song by calling it the best summer anthem ever created.,"The word laud is from the Latin word laudere, meaning ""to praise.” To laud someone is to glorify them, or to sing their praises, even if you’re not actually singing. Movie reviewers might laud Oscar-nominated films, and your high school principal might laud the class valedictorian at graduation.",exalt extol glorify proclaim,
0,abeyance,(n) temporary cessation or suspension,"An abeyance is a temporary halt to something, with the emphasis on ""temporary."" It is usually used with the word ""in"" or ""into""; ""in abeyance"" suggests a state of waiting or holding.","The word abeyance has a legal ring to it, and for a good reason â€” appearing in English in the 16th century, it comes from the Anglo-French word abeiance, a legal term for waiting or hoping to receive property. Nowadays, the word is used in a similar way. Different legal rights, like property rights, can be held in abeyance until matters are resolved.",suspension,
0,coda,(n) the closing section of a musical composition,"A coda is a concluding segment of a piece of music, a dance, or a statement. It's usually short and adds a final embellishment beyond a natural ending point. Like this.","Coda comes from the Latin word cauda, meaning ""tail,"" and it's good to think of it as a tail tacked onto something that in and of itself is already a whole. If you tell a story about your crazy experience getting lost in the country and sleeping at a farmer's house, you might add, as a coda, that the farmer ended up visiting you too, a year later.",finale,
0,dissonance,(n) disagreeable sounds (n) the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience (n) a conflict of people's opinions or actions or characters,Disagreeable sounds can be called dissonance. You know it's dissonance if you have the strong desire to cover your ears with your hands.,"Racket, noise, dissonance â€” all can describe sounds that are not pleasant. While some musicians purposely add a little dissonance into their melodies to create an unexpected sound, others, like someone who just started drum lessons, creates dissonance by accident. Dissonance can also be a conflict between people or opinions, like the dissonance you feel when you want to do something but your parents say ""no.""",noise racket disagreement dissension,harmony accord agreement
0,goad,"(v) stab or urge on as if with a pointed stick (v) urge with or as if with a goad (v) goad or provoke, as by constant criticism (v) give heart or courage to (n) a pointed instrument that is used to prod into a state of motion (n) a verbalization that encourages you to attempt something","A goad is a pointy stick or other instrument used to prod something along. To goad is to poke something with that pointy stick. Either way, the pointiness is really essential for making things leap into action.","Originally spelled gad, meaning “spearhead,” goad first came into use as a verb in the 1570s. But say you left your pointy goading stick at home. Have no fear! You can goad people with words, too. Literally or figuratively, a goad prods and pokes and provokes people into doing something. A sheep herder might hustle his flock along with a goad, just as your mom's constant nagging and goading might finally get you sit up straight at the dinner table.",prick needle spur prod goading prod prodding spur spurring urging,
0,lethargic,(adj) deficient in alertness or activity,"When you feel lethargic, you're sluggish or lacking energy. Being sleepy or hungry can make anyone lethargic.","Being lethargic makes it hard to get anything done: you feel weak and sleepy. Whatever the reason, a lethargic person needs to snap out of it and get some energy, maybe by eating something or by taking a nap. Being lethargic also goes well with watching TV, since that takes almost no energy at all. When you feel lethargic, you don't have any energy to spare.",unenergetic unenrgetic,energetic active lively dynamic dynamical physical alert brisk lively merry rattling snappy spanking zippy canty driving high-energy indefatigable tireless unflagging unwearying strenuous vigorous enterprising spirited
0,abscond,(v) run away; usually includes taking something or somebody along,"Abscond is to escape, often taking something along. As a kid, you may have absconded from your lemonade stand — with the coffee can of cash in hand, and your bewildered sister still filling cups for your customers.","Abscond is generally used to describe someone running from law or capture, and the word abscond has been in use since the early sixteenth century — running away and hiding being nothing new. Dogs who get off the leash and dart into the woods are not necessarily absconding; they are simply making a break for it. On the other hand, the Ponzi schemer who went to live in the South of France with his client's money? He absconded.",absquatulate bolt decamp go off make off run off,
0,cogent,(adj) powerfully persuasive,"When you make a cogent argument, it means your argument is clear and persuasive. In these days of 24-hour entertainment news and sound-bite sized explanations of complex government policy, it’s hard to find a cogent argument amidst all the emotional outbursts.","Cogent comes from a Latin word meaning to drive together, so cogent thinking is well-organized: it hangs together. If you try to convince your mayor to build a new park by saying that playgrounds are good, seeing the sky is nice, and raccoons are cool…well that’s not a cogent argument; it’s just random. But you could cogently argue that parks contribute to civic happiness by providing space for exercise, community, and encounters with nature.",telling weighty,
